thisN,thisTrialN,thisRepN,instructionType,instructionSymbol,action,stimText,stimAudio,stimVideo,movement,keyBlockResponse.keys,keyBlockResponse.rt,keyBlockResponse.duration,trainingTrials_block.thisRepN,trainingTrials_block.thisTrialN,trainingTrials_block.thisN,trainingTrials_block.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,halfTimeLoop.thisRepN,halfTimeLoop.thisTrialN,halfTimeLoop.thisN,halfTimeLoop.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcome.started,welcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,explanationScreen.started,textExplanation.started,keyExplanationResponse.started,explanationScreen.stopped,keyExplanationResponse.keys,keyExplanationResponse.rt,keyExplanationResponse.duration,expInstructSpeak.started,textInstructSpeak.started,imageSpeak.started,textInstructSpeak_continue.started,keyInstructSpeak_continue.started,expInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,expInstructHand.started,textInstructHand.started,keyInstructHand_continue.started,textInstructHand_continue.started,imageInstructHand.started,expInstructHand.stopped,keyInstructHand_continue.keys,keyInstructHand_continue.rt,keyInstructHand_continue.duration,expInstructBoth.started,textInstructBoth.started,imageInstructBoth.started,keyresponseInstructBoth.started,textInstructBoth_continue.started,expInstructBoth.stopped,keyresponseInstructBoth.keys,keyresponseInstructBoth.rt,keyresponseInstructBoth.duration,blockTrials.started,textBlockOne.started,keyBlockResponse.started,blockTrials.stopped,blockLoop.keyBlockResponse.keys,blockLoop.keyBlockResponse.rt,blockLoop.keyBlockResponse.duration,image_aspect,trials.started,iti.started,iti.stopped,trialStart.started,trialStart.stopped,movieGesture.started,soundStimulus.started,soundStimulus.stopped,movieGesture.stopped,instructionImage.started,instructionImage.stopped,actionCue.started,audioGoCue.started,audioGoCue.stopped,actionCue.stopped,trials.stopped,halfTime.started,textHalfTime.started,halfTime.stopped,goodbyeScreen.started,textGoodbye.started,goodbyeScreen.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05555540000023029,0.057313499999963824,0.057313499999963824,39.17815849999988,space,39.10872999999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.17819039999995,39.19269519999989,39.19269519999989,69.97647710000001,space,30.770109100000354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.97650460000023,69.99291140000014,69.99291140000014,69.99291140000014,69.99291140000014,74.87636770000017,space,4.866882900000292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.87639459999991,74.89293839999982,74.89293839999982,74.89293839999982,74.89293839999982,77.00979920000009,space,2.1116187000002355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.01014410000016,77.02625480000006,77.02625480000006,77.02625480000006,77.02625480000006,84.75987600000008,space,7.733341699999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
0,0,0,gesture,images/hand.png,go,"outside",audios/outside.wav,videos/outside_clip.mp4,arm,space,155.21646820000024,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,240.1688677000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.77368119999983,84.77624980000019,84.77624980000019,239.99402800000007,space,155.21646820000024,None,1.0,240.1671311,240.1688677000002,241.99399630000016,241.99399630000016,242.99408670000003,242.99408670000003,243.49383616666663,245.2938250000002,246.09539790000008,246.09539790000008,248.49388230000022,248.49388230000022,248.49385956666654,249.49387019999995,251.2771972999999,250.97734750000018,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
1,1,0,speech_gesture,images/speak_gesture.png,go,"peace",audios/peace.wav,videos/peace_clip.mp4,digits,space,155.21646820000024,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,251.2771972999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.663076923076923,251.2747402,251.2771972999999,252.99390410000024,252.99390410000024,253.99427400000013,253.99427400000013,254.49392706666666,255.8607710000001,257.0952510000002,257.0952510000002,259.49403310000025,259.49403310000025,259.4939369666665,260.49390790000007,262.26095350000014,261.9773921000001,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
2,2,0,speech_no,images/speak.png,nogo,"peace",audios/peace.wav,videos/peace_clip.mp4,digits,space,155.21646820000024,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,262.26095350000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,262.25972219999994,262.26095350000014,263.9939611,263.9939611,264.99425440000005,264.99425440000005,265.49399026666674,266.86062390000006,268.09174710000025,268.09174710000025,270.49403040000016,270.49403040000016,270.4940088666665,271.49706000000015,273.2497527999999,272.9775537999999,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
3,3,0,gesture,images/hand.png,go,"good luck",audios/goodluck2.wav,videos/goodluck_clip.mp4,digits,space,155.21646820000024,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,273.2497527999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,273.2486786999998,273.2497527999999,274.99399829999993,274.99399829999993,275.99425930000007,275.99425930000007,276.49401276666663,277.9773212,279.09608049999997,279.09608049999997,281.4940652999999,281.4940652999999,281.49407916666655,282.4941481999999,284.2566270000002,283.9775631000002,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
4,4,0,speech_gesture,images/speak_gesture.png,go,"peace",audios/peace.wav,videos/peace_clip.mp4,digits,space,155.21646820000024,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,284.2566270000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.663076923076923,284.2520333000002,284.2566270000002,285.99422890000005,285.99422890000005,286.99438020000025,286.99438020000025,287.49423066666645,288.87742609999987,290.1152255000002,290.1152255000002,292.49412540000003,292.49412540000003,292.49414316666684,293.4971467999999,295.2562971000002,294.9775346000001,,,,,,,BCI02,001,2025-12-12_10h20.03.735,CoSpeechGestures,,2025.1.1,59.95139141183242,2025-12-12 10h20.18.187367 -0600,
