instructionType,instructionSymbol,action,stimText,stimAudio,stimVideo,movement,thisN,thisTrialN,thisRepN,keyBlockResponseTraining.keys,keyBlockResponseTraining.rt,keyBlockResponseTraining.duration,trainingTrials_block.thisRepN,trainingTrials_block.thisTrialN,trainingTrials_block.thisN,trainingTrials_block.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcome.started,welcomeScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,explanationScreen.started,textExplanation.started,keyExplanationResponse.started,explanationScreen.stopped,keyExplanationResponse.keys,keyExplanationResponse.rt,keyExplanationResponse.duration,expInstructSpeak.started,textInstructSpeak.started,imageSpeak.started,textInstructSpeak_continue.started,keyInstructSpeak_continue.started,expInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,expInstructHand.started,textInstructHand.started,keyInstructHand_continue.started,textInstructHand_continue.started,imageInstructHand.started,expInstructHand.stopped,keyInstructHand_continue.keys,keyInstructHand_continue.rt,keyInstructHand_continue.duration,expInstructBoth.started,textInstructBoth.started,imageInstructBoth.started,keyresponseInstructBoth.started,textInstructBoth_continue.started,expInstructBoth.stopped,keyresponseInstructBoth.keys,keyresponseInstructBoth.rt,keyresponseInstructBoth.duration,trainingBlock.started,textBlockTraining.started,keyBlockResponseTraining.started,trainingBlock.stopped,trainingTrials_block.keyBlockResponseTraining.keys,trainingTrials_block.keyBlockResponseTraining.rt,trainingTrials_block.keyBlockResponseTraining.duration,image_aspect,trainingTrials.started,itiTraining.started,itiTraining.stopped,trialStart_Training.started,trialStart_Training.stopped,movieGesture_Training.started,soundStimulus_Training.started,soundStimulus_Training.stopped,movieGesture_Training.stopped,instructionImageTraining.started,instructionImageTraining.stopped,actionCueTraining.started,soundGoCue_Training.started,soundGoCue_Training.stopped,actionCueTraining.stopped,trainingTrials.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.020331375068053603,0.029501458047889173,0.029501458047889173,41.48548587504774,space,41.20656749990303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,41.48554374999367,41.49824650003575,41.49824650003575,59.780728165991604,space,18.272642499068752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.78078000003006,59.79361000005156,59.79361000005156,59.79361000005156,59.79361000005156,78.58439233305398,space,18.78939345793333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.58444200002123,78.59458633302711,78.59458633302711,78.59458633302711,78.59458633302711,86.38090245809872,space,7.779997540987097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.38337404106278,86.3916330410866,86.3916330410866,86.3916330410866,86.3916330410866,95.5975728330668,space,9.191893583047204,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
gesture,images/hand.png,go,"cutting",audios/cutting.wav,videos/cutting_clip.mp4,arm,0,0,0,space,28.532069833017886,None,0,0,0,0,95.62690287502483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.61658958299085,95.62690287502483,95.62690287502483,124.16408391599543,space,28.532069833017886,None,1.0,124.29960262507666,124.30413225002121,126.16163654101547,126.16163654101547,127.17654637503438,127.17654637503438,127.66610812471869,129.39507012499962,130.27124458306935,130.27124458306935,132.66156941605732,132.66156941605732,132.6670674996606,133.6615826661,135.2612045831047,135.14981779106893,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
speech,images/speak.png,go,"sweeping",audios/sweeping.wav,videos/sweeping_clip.mp4,arm,1,1,0,space,22.372706874040887,None,0,1,1,1,135.2612045831047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.2590232080547,135.2612045831047,135.2612045831047,157.65077350009233,space,22.372706874040887,None,1.0,157.90451516606845,157.90879479108844,159.64530508301686,159.64530508301686,160.67741425009444,160.67741425009444,161.1618560417012,162.94523625005968,163.77966029103845,163.77966029103845,166.14909691608045,166.14909691608045,166.16188354167778,167.15495450003073,168.77638637507334,168.6475154160289,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
speech,images/speak.png,go,"outside",audios/outside.wav,videos/outside_clip.mp4,arm,2,2,0,space,11.509857373894192,None,0,2,2,2,168.77638637507334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.77383233304136,168.77638637507334,168.77638637507334,180.3022627910832,space,11.509857373894192,None,1.0,180.5399694161024,180.54601416608784,182.31572954100557,182.31572954100557,183.31184691609815,183.31184691609815,183.81215949968126,185.5993798330892,186.4109270410845,186.4109270410845,188.81200800009537,188.81200800009537,188.81543774967238,189.8118291660212,191.43184987502173,191.29745779104996,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
gesture,images/hand.png,go,"what",audios/what.wav,videos/what_clip.mp4,wrist,3,3,0,space,36.35630320792552,None,0,3,3,3,191.43184987502173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.43000125000253,191.43184987502173,191.43184987502173,227.79811500001233,space,36.35630320792552,None,1.0,228.02680129103828,228.03090495802462,229.79552583303303,229.79552583303303,230.80444750003517,230.80444750003517,231.30035041674662,232.63289750006516,233.90915920806583,233.90915920806583,236.2954720830312,236.2954720830312,236.2992867497417,237.29550608305726,238.89164662500843,238.78381629101932,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
speech,images/speak.png,go,"goodbye",audios/goodbye.wav,videos/goodbye_clip.mp4,wrist,4,4,0,space,6.8427714159479365,None,0,4,4,4,238.89164662500843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.88942166604102,238.89164662500843,238.89164662500843,245.74875004100613,space,6.8427714159479365,None,1.0,245.99358662508894,245.9976773330709,247.7489965830464,247.7489965830464,248.74902275006752,248.74902275006752,249.24952666677225,251.27906145807356,251.84559537505265,251.84559537505265,254.24855987506453,254.24855987506453,254.2485125417045,255.24552712508012,256.84480500000063,256.73425541608594,pilot,001,2025-12-08_15h48.14.088,CoSpeechGestures,,2025.1.1,None,2025-12-08 15h48.26.952539 +0100,
