instructionType,instructionSymbol,action,stimText,stimVideo,stimAudio,movement,congruency,thisN,thisTrialN,thisRepN,keyBlockResponseTraining.keys,keyBlockResponseTraining.rt,keyBlockResponseTraining.duration,keyBlockResponse.keys,keyBlockResponse.rt,keyBlockResponse.duration,trialsTraining.thisRepN,trialsTraining.thisTrialN,trialsTraining.thisN,trialsTraining.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,oneThirdLoop.thisRepN,oneThirdLoop.thisTrialN,oneThirdLoop.thisN,oneThirdLoop.thisIndex,twoThirdsLoop.thisRepN,twoThirdsLoop.thisTrialN,twoThirdsLoop.thisN,twoThirdsLoop.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcomeResponse.started,welcomeScreen.stopped,keyWelcomeResponse.keys,keyWelcomeResponse.rt,keyWelcomeResponse.duration,explanationScreen.started,textExplanation.started,keyEplanation.started,explanationScreen.stopped,keyEplanation.keys,keyEplanation.rt,keyEplanation.duration,explInstructSpeak.started,image.started,textInstructSpeak.started,keyInstructSpeak_continue.started,textInstructSpeak_continue.started,explInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,explInstructHand.started,textInstructHand.started,imageInstructHand.started,keyInstructHand.started,textInstructHand_continue.started,explInstructHand.stopped,keyInstructHand.keys,keyInstructHand.rt,keyInstructHand.duration,explInstructBoth.started,imageInstructBoth.started,textInstructBoth.started,keyResponseInstructBoth.started,textInstructBoth_continue.started,explInstructBoth.stopped,keyResponseInstructBoth.keys,keyResponseInstructBoth.rt,keyResponseInstructBoth.duration,blockTraining.started,textBlockTraining.started,keyBlockResponseTraining.started,blockTraining.stopped,trialsTraining.keyBlockResponseTraining.keys,trialsTraining.keyBlockResponseTraining.rt,trialsTraining.keyBlockResponseTraining.duration,image_aspect,trialTraining.started,iti_Training.started,iti_Training.stopped,textStart_Training.started,textStart_Training.stopped,movieGesture_Training.started,audioStim_Training.started,audioStim_Training.stopped,movieGesture_Training.stopped,instructionImage_Training.started,instructionImage_Training.stopped,actionCue_Training.started,audioGoCue_Training.started,audioGoCue_Training.stopped,actionCue_Training.stopped,trialTraining.stopped,blockStart.started,textBlockStart.started,keyBlockResponse.started,blockStart.stopped,blockLoop.keyBlockResponse.keys,blockLoop.keyBlockResponse.rt,blockLoop.keyBlockResponse.duration,trial.started,iti.started,iti.stopped,textStart.started,textStart.stopped,movieGesture.started,audioStimuli.started,audioStimuli.stopped,movieGesture.stopped,instructionImage.started,instructionImage.stopped,actionCue.started,audioGoCue.started,audioGoCue.stopped,actionCue.stopped,trial.stopped,breakOnethird.started,textOneThird.started,textOneThird.stopped,breakOnethird.stopped,breakTwothirds.started,textTwothirds.started,textTwothirds.stopped,breakTwothirds.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021978415999910794,0.04146599999512546,0.04146599999512546,1.7846414579980774,space,1.397460249994765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7846811249910388,1.8018365829921095,1.8018365829921095,2.2967911250016186,space,0.4930597909988137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.296871332990122,2.32283679099055,2.32283679099055,2.32283679099055,2.32283679099055,2.637371915989206,space,0.31209270800172817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6374130829935893,2.6451000410015695,2.6451000410015695,2.6451000410015695,2.6451000410015695,2.9380468749877764,space,0.28411262499867007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.938990915994509,2.9475934579968452,2.9475934579968452,2.9475934579968452,2.9475934579968452,3.246626832988113,space,0.29140029101108667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
speech_gesture,images/speak_gesture1.png,go,"falling",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent,0,0,0,space,0.43507074999797624,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3.2672210829914548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2602714160020696,3.2672210829914548,3.2672210829914548,3.7094382499926724,space,0.43507074999797624,None,2.7417218543046356,5.251025958001264,5.29717508298927,5.700085582997417,5.700085582997417,6.719362624993664,6.719362624993664,7.209015624659757,8.27083962499455,9.543879249991733,9.706129707992659,12.211711290990934,12.211711290990934,12.21979612466045,13.21731604100205,15.70988199999556,15.703364832996158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
speech_gesture,images/speak_gesture1.png,go,"rising",videos/rising_clip.mp4,audios/rising.wav,arm,congruent,1,1,0,space,0.9971087490121135,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,15.70988199999556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.704180290995282,15.70988199999556,15.70988199999556,16.70823274999566,space,0.9971087490121135,None,2.7417218543046356,16.88997199998994,16.898411040994688,18.69830845799879,18.69830845799879,19.7041780409927,19.7041780409927,20.20812816666536,21.26947183298762,22.54369062499609,22.705789540996193,25.199197333000484,25.199197333000484,25.20794112465616,26.208573915995657,28.704878207994625,28.699038416001713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
gesture,images/hand.png,go,"falling",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent,2,2,0,space,0.5799788330041338,None,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,28.704878207994625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.699654832991655,28.704878207994625,28.704878207994625,29.29284845798975,space,0.5799788330041338,None,1.0,29.47445104099461,29.48238545798813,31.28352395800175,31.28352395800175,32.28789691599377,32.28789691599377,32.80004158265753,33.861777749989415,35.11505591600144,35.29229470799328,37.789351540995995,37.789351540995995,37.799189082656326,38.79308087499521,41.28967249998823,41.279074124991894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
speech,images/speak.png,go,"you",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent,3,3,0,space,0.45903050000197254,None,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,41.28967249998823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.27923941599147,41.28967249998823,41.28967249998823,41.75831945799291,space,0.45903050000197254,None,1.0,41.90355683300004,41.90990449998935,43.75510229099018,43.75510229099018,44.74932983299368,44.74932983299368,45.262347416665094,46.32423304099939,47.8603907910001,47.86470616600127,50.25711512500129,50.25711512500129,50.26707641665804,51.270567415995174,53.75662095799635,53.75109174998943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
gesture,images/hand.png,nogo,"you",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent,4,4,0,space,0.5511856660014018,None,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,53.75662095799635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.75160687499738,53.75662095799635,53.75662095799635,54.3179514999938,space,0.5511856660014018,None,1.0,54.456932374989265,54.463043290990754,56.308497874997556,56.308497874997556,57.314938874988,57.314938874988,57.820270416665394,58.88108837499749,60.41962308299844,60.42391020798823,62.81209066598967,62.81209066598967,62.82069295765929,63.81473724999523,66.31571999999869,66.30980916599219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245562,001,2025-12-23_22h49.14.425,exp_cospeech_congruency,,2025.1.1,None,2025-12-23 22h49.20.370158 +0100,
