instructionType,instructionSymbol,action,stimText,stimVideo,stimAudio,movement,congruency,thisN,thisTrialN,thisRepN,keyBlockResponseTraining.keys,keyBlockResponseTraining.rt,keyBlockResponseTraining.duration,trialsTraining.thisRepN,trialsTraining.thisTrialN,trialsTraining.thisN,trialsTraining.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcomeResponse.started,welcomeScreen.stopped,keyWelcomeResponse.keys,keyWelcomeResponse.rt,keyWelcomeResponse.duration,explanationScreen.started,textExplanation.started,keyEplanation.started,explanationScreen.stopped,keyEplanation.keys,keyEplanation.rt,keyEplanation.duration,explInstructSpeak.started,image.started,textInstructSpeak.started,keyInstructSpeak_continue.started,textInstructSpeak_continue.started,explInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,explInstructHand.started,textInstructHand.started,imageInstructHand.started,keyInstructHand.started,textInstructHand_continue.started,explInstructHand.stopped,keyInstructHand.keys,keyInstructHand.rt,keyInstructHand.duration,explInstructBoth.started,imageInstructBoth.started,textInstructBoth.started,keyResponseInstructBoth.started,textInstructBoth_continue.started,explInstructBoth.stopped,keyResponseInstructBoth.keys,keyResponseInstructBoth.rt,keyResponseInstructBoth.duration,blockTraining.started,textBlockTraining.started,keyBlockResponseTraining.started,blockTraining.stopped,trialsTraining.keyBlockResponseTraining.keys,trialsTraining.keyBlockResponseTraining.rt,trialsTraining.keyBlockResponseTraining.duration,image_aspect,trialTraining.started,iti_Training.started,iti_Training.stopped,textStart_Training.started,textStart_Training.stopped,movieGesture_Training.started,audioStim_Training.started,audioStim_Training.stopped,movieGesture_Training.stopped,instructionImage_Training.started,instructionImage_Training.stopped,actionCue_Training.started,audioGoCue_Training.started,audioGoCue_Training.stopped,actionCue_Training.stopped,trialTraining.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.003345791992614977,0.22236666700337082,0.22236666700337082,1.6882925419922685,space,1.461759040990728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648032,001,2025-11-14_11h51.19.458,exp_cospeech_congruency,,2025.1.1,None,2025-11-14 11h51.26.278897 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.688333291996969,1.69972304199473,1.69972304199473,2.971020458993735,space,1.2541458740015514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648032,001,2025-11-14_11h51.19.458,exp_cospeech_congruency,,2025.1.1,None,2025-11-14 11h51.26.278897 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9711346669937484,2.986806291999528,2.986806291999528,2.986806291999528,2.986806291999528,4.036687833999167,space,1.042407999993884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648032,001,2025-11-14_11h51.19.458,exp_cospeech_congruency,,2025.1.1,None,2025-11-14 11h51.26.278897 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.036734666995471,4.0494130839942954,4.0494130839942954,4.0494130839942954,4.0494130839942954,4.586930334000499,space,0.533739708000212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648032,001,2025-11-14_11h51.19.458,exp_cospeech_congruency,,2025.1.1,None,2025-11-14 11h51.26.278897 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.587481750000734,4.599469958993723,4.599469958993723,4.599469958993723,4.599469958993723,5.288184083998203,space,0.6803224989998853,None,,,,,,,,,,,,,,,,,,,,,,,,,648032,001,2025-11-14_11h51.19.458,exp_cospeech_congruency,,2025.1.1,None,2025-11-14 11h51.26.278897 +0100,
speech_gesture,images/speak_gesture1.png,go,"you",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent,0,0,0,space,0.914862332996563,None,0,0,0,0,5.304177166995942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.299958916992182,5.304177166995942,5.304177166995942,6.238340708994656,space,0.914862332996563,None,2.7417218543046356,6.407490541998413,6.417076333993464,8.249455791999935,8.249455791999935,9.25840370899823,9.25840370899823,9.749401916666345,10.816109374994994,12.358195833992795,12.360322291991906,14.735511042003054,14.735511042003054,14.738618833657045,15.73245558400231,18.23297641699901,18.221796708996408,648032,001,2025-11-14_11h51.19.458,exp_cospeech_congruency,,2025.1.1,None,2025-11-14 11h51.26.278897 +0100,
speech,images/speak.png,go,"rising",videos/falling_clip.mp4,audios/rising.wav,arm,incongruent,1,1,0,space,1.544764624995878,None,0,1,1,1,18.23297641699901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.222274416999426,18.23297641699901,18.23297641699901,19.788338917001965,space,1.544764624995878,None,1.0,20.03314749999845,20.03772870899411,21.78591270899051,21.78591270899051,22.821281666998402,22.821281666998402,23.29946045866042,24.36610270899837,25.927828458996373,25.927828458996373,28.30167512499611,28.30167512499611,28.302625041662637,29.30161899999075,31.788484791992232,31.785529499989934,648032,001,2025-11-14_11h51.19.458,exp_cospeech_congruency,,2025.1.1,None,2025-11-14 11h51.26.278897 +0100,
gesture,images/hand.png,go,"rising",videos/falling_clip.mp4,audios/rising.wav,arm,incongruent,2,2,0,space,0.8137335409992374,None,0,2,2,2,31.788484791992232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.786035124998307,31.788484791992232,31.788484791992232,32.60497083399969,space,0.8137335409992374,None,1.0,32.820442500000354,32.82491349999327,34.62099349999335,34.62099349999335,35.619905125000514,35.619905125000514,36.1162153756634,37.1828857090004,38.72806420898996,38.72806420898996,41.11917845899006,41.11917845899006,41.119380541659,42.117782499990426,44.6185360840027,44.602924624996376,648032,001,2025-11-14_11h51.19.458,exp_cospeech_congruency,,2025.1.1,None,2025-11-14 11h51.26.278897 +0100,
speech_gesture,images/speak_gesture1.png,nogo,"falling",videos/falling_clip.mp4,audios/falling.wav,arm,congruent,3,3,0,space,1.377614540993818,None,0,3,3,3,44.6185360840027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.603453916992294,44.6185360840027,44.6185360840027,46.00468783399265,space,1.377614540993818,None,2.7417218543046356,46.23220870899968,46.236552250004024,48.01873962499667,48.01873962499667,49.02417166699888,49.02417166699888,49.51634766666781,50.5829464589915,52.123989708998124,52.123989708998124,54.51835499999288,54.51835499999288,54.5177362506695,55.516399250001996,58.00148970900045,57.98850079199474,648032,001,2025-11-14_11h51.19.458,exp_cospeech_congruency,,2025.1.1,None,2025-11-14 11h51.26.278897 +0100,
gesture,images/hand.png,go,"me",videos/you_clip.mp4,audios/me.wav,hand_wrist,incongruent,4,4,0,,,,0,4,4,4,58.00148970900045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.98868808399129,58.00148970900045,58.00148970900045,58.62006883400318,space,0.6048366250033723,None,1.0,58.90407941699959,58.90848862499115,60.61822054199001,60.61822054199001,61.63313041700167,61.63313041700167,62.11958504165911,63.16631304199109,64.66819466699963,64.66988266700355,,,,,,,,,,,,,,,
