instructionType,instructionSymbol,action,stimText,stimVideo,stimAudio,movement,congruency,thisN,thisTrialN,thisRepN,keyBlockResponseTraining.keys,keyBlockResponseTraining.rt,keyBlockResponseTraining.duration,keyBlockResponse.keys,keyBlockResponse.rt,keyBlockResponse.duration,trialsTraining.thisRepN,trialsTraining.thisTrialN,trialsTraining.thisN,trialsTraining.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,pause.thisRepN,pause.thisTrialN,pause.thisN,pause.thisIndex,oneThirdLoop.thisRepN,oneThirdLoop.thisTrialN,oneThirdLoop.thisN,oneThirdLoop.thisIndex,twoThirdsLoop.thisRepN,twoThirdsLoop.thisTrialN,twoThirdsLoop.thisN,twoThirdsLoop.thisIndex,thisRow.t,notes,welcomeScreen.started,textWelcome.started,keyWelcomeResponse.started,welcomeScreen.stopped,keyWelcomeResponse.keys,keyWelcomeResponse.rt,keyWelcomeResponse.duration,explanationScreen.started,textExplanation.started,keyEplanation.started,explanationScreen.stopped,keyEplanation.keys,keyEplanation.rt,keyEplanation.duration,explInstructSpeak.started,image.started,textInstructSpeak.started,keyInstructSpeak_continue.started,textInstructSpeak_continue.started,explInstructSpeak.stopped,keyInstructSpeak_continue.keys,keyInstructSpeak_continue.rt,keyInstructSpeak_continue.duration,explInstructHand.started,textInstructHand.started,imageInstructHand.started,keyInstructHand.started,textInstructHand_continue.started,explInstructHand.stopped,keyInstructHand.keys,keyInstructHand.rt,keyInstructHand.duration,explInstructBoth.started,imageInstructBoth.started,textInstructBoth.started,keyResponseInstructBoth.started,textInstructBoth_continue.started,explInstructBoth.stopped,keyResponseInstructBoth.keys,keyResponseInstructBoth.rt,keyResponseInstructBoth.duration,blockTraining.started,textBlockTraining.started,keyBlockResponseTraining.started,blockTraining.stopped,trialsTraining.keyBlockResponseTraining.keys,trialsTraining.keyBlockResponseTraining.rt,trialsTraining.keyBlockResponseTraining.duration,image_aspect,trialTraining.started,iti_Training.started,iti_Training.stopped,textStart_Training.started,textStart_Training.stopped,movieGesture_Training.started,audioStim_Training.started,audioStim_Training.stopped,movieGesture_Training.stopped,instructionImage_Training.started,instructionImage_Training.stopped,actionCue_Training.started,audioGoCue_Training.started,audioGoCue_Training.stopped,actionCue_Training.stopped,trialTraining.stopped,blockStart.started,textBlockStart.started,keyBlockResponse.started,blockStart.stopped,blockLoop.keyBlockResponse.keys,blockLoop.keyBlockResponse.rt,blockLoop.keyBlockResponse.duration,trial.started,iti.started,iti.stopped,textStart.started,textStart.stopped,movieGesture.started,audioStimuli.started,audioStimuli.stopped,movieGesture.stopped,instructionImage.started,instructionImage.stopped,actionCue.started,audioGoCue.started,audioGoCue.stopped,actionCue.stopped,trial.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042359200000646524,0.04371809999975085,0.04371809999975085,27.70490659999996,space,27.657268799999656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.70493449999958,27.719617099999596,27.719617099999596,45.28674099999989,space,17.555268699999942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.286767300000065,45.30299390000073,45.30299390000073,45.30299390000073,45.30299390000073,47.60320090000096,space,2.296848800000589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.60322769999948,47.61966890000076,47.61966890000076,47.61966890000076,47.61966890000076,48.886496799999804,space,1.262662499999351,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8867967999995,48.90301390000059,48.90301390000059,48.90301390000059,48.90301390000059,50.0865302000002,space,1.1717050000006566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
gesture,images/hand.png,go,"rising",videos/falling_clip.mp4,audios/rising.wav,arm,incongruent,0,0,0,space,7.861681000000317,None,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,50.10306020000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.09933149999961,50.10306020000098,50.10306020000098,57.9699154000009,space,7.861681000000317,None,1.0,60.52810099999988,60.539720700000544,60.539720700000544,60.539720700000544,60.970123900000544,60.970123900000544,61.469694966667035,62.53643639999973,66.75066909999987,66.75066909999987,66.75296879999951,66.75296879999951,66.76733576666653,67.7698347000005,69.96981270000106,69.95324129999972,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech_gesture,images/speak_gesture1.png,go,"me",videos/me_clip.mp4,audios/me.wav,hand_wrist,congruent,1,1,0,space,9.580565399999614,None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,69.96981270000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.95333700000083,69.96981270000106,69.96981270000106,79.55334000000039,space,9.580565399999614,None,2.7417218543046356,82.67608590000054,82.69145109999954,82.69145109999954,82.69145109999954,82.69145109999954,82.69145109999954,83.05314116666729,84.10311840000031,88.2091550999994,88.2091550999994,88.22005630000058,88.22005630000058,88.22582176666607,89.23820280000109,91.5532476999997,91.53667760000098,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
gesture,images/hand.png,go,"falling",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent,2,2,0,space,14.353858399999808,None,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,91.5532476999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.536780800001,91.5532476999997,91.5532476999997,105.9201420999998,space,14.353858399999808,None,1.0,109.02609289999964,109.03859180000109,109.03859180000109,109.03859180000109,109.03859180000109,109.03859180000109,109.42018376666626,110.48649119999936,114.62928599999941,114.63657170000079,114.63657170000079,114.63657170000079,114.64595266666608,115.65371539999978,117.92041160000008,117.90387639999972,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech,images/speak.png,go,"you",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent,3,3,0,space,3.0313650999996753,None,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,117.92041160000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.90397389999998,117.92041160000008,117.92041160000008,120.95385850000093,space,3.0313650999996753,None,1.0,124.03810180000073,124.05329060000076,124.05329060000076,124.05329060000076,124.05329060000076,124.05329060000076,124.45322646666706,125.52031519999946,129.56081260000065,129.56081260000065,129.5699611,129.5699611,129.57747926666732,130.5871256999999,132.95395280000048,132.93729279999934,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
speech,images/speak.png,go,"rising",videos/rising_clip.mp4,audios/rising.wav,arm,congruent,4,4,0,space,5.398754100000588,None,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,132.95395280000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.93739610000011,132.95395280000048,132.95395280000048,138.35410410000077,space,5.398754100000588,None,1.0,141.47482540000055,141.49005600000055,141.49005600000055,141.49005600000055,141.49005600000055,141.49005600000055,141.85335056666761,142.9203770999993,146.91601679999985,146.92008600000008,146.92008600000008,146.92008600000008,146.93268346666653,147.937817,150.3539333000008,150.33742239999992,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
gesture,images/hand.png,go,"falling",videos/falling_clip.mp4,audios/falling.wav,arm,congruent,5,5,0,space,518.7214460999985,None,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,150.3539333000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.33752819999972,150.3539333000008,150.3539333000008,669.0901501000008,space,518.7214460999985,None,1.0,671.9856385000003,671.9933096999994,671.9933096999994,671.9933096999994,672.0902048999997,672.0902048999997,672.5899200666665,673.6560468000007,678.0300616000004,678.0300616000004,678.0394567000003,678.0394567000003,678.0467282666671,679.0565833,681.0894002999994,681.0728849000006,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
gesture,images/hand.png,go,"me",videos/me_clip.mp4,audios/me.wav,hand_wrist,congruent,6,6,0,space,0.5867527999998856,None,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,681.0894002999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.0729986999995,681.0894002999994,681.0894002999994,681.6901063999994,space,0.5867527999998856,None,1.0,684.6186051000004,684.6253173999994,684.6253173999994,684.6253173999994,684.6936733000002,684.6936733000002,685.1893937666666,686.239977700001,690.6169991000006,690.6169991000006,690.622752700001,690.622752700001,690.6336657666673,691.6394467000009,693.6899967999998,693.6734372999999,,,,,,,,,,,,,,,,,,,,,,,,BCI02,001,2025-12-12_12h42.57.795,exp_cospeech_congruency,,2025.1.1,60.03993856698204,2025-12-12 12h43.06.338691 -0600,
